total_recommend,days_since_earliest,word_count,weekly_recommend,remaining_attributes,status,contract_vip,author_level,total_works,total_creation_words,creation_days
5,0.0,6536,0,"['浪漫青春', '叛逆成长']",0,0,0,0,0,5
67,28.0,136700,0,"['科幻', '末世危机']",0,0,0,1,140000,95
3,0.0,9921,0,"['科幻', '超级科技']",0,0,0,0,0,2
1,151.0,1522,1,"['浪漫青春', '青春校园']",0,0,0,1,1522,19
8,124.0,18600,0,"['奇幻', '现代魔法']",0,0,0,1,19000,8
22,24.0,37200,0,"['轻小说', '恋爱日常', '轻小说']",0,0,0,1,37000,20
2,0.0,3032,0,"['科幻', '末世危机']",0,0,0,0,0,1
54,21.0,82700,0,"['仙侠', '幻想修仙']",0,0,0,1,83000,26
22,14.0,29400,0,"['轻小说', '衍生同人', '轻小说']",0,0,0,1,29000,12
1034,152.0,596000,74,"['诸天无限', '无限']",0,1,1,1,600000,143
30,0.0,8315,0,"['轻小说', '衍生同人', '轻小说']",1,0,0,1,100000,60
0,0.0,14900,0,"['都市', '娱乐明星']",0,0,2,1,250000,1174
2,0.0,2008,0,"['都市', '青春校园']",0,0,0,0,0,1
13,115.0,23200,0,"['奇幻', '剑与魔法']",0,0,0,2,36000,12
55,36.0,39600,0,"['玄幻', '东方玄幻']",0,0,0,1,40000,18
4,153.0,9462,0,"['玄幻', '东方玄幻']",0,0,0,1,9462,3
7,108.0,12900,0,"['玄幻', '东方玄幻']",0,0,0,1,13000,6
2,22.0,2443,0,"['仙侠', '幻想修仙']",0,0,0,2,34000,23
3,0.0,2426,0,"['武侠', '传统武侠']",0,0,0,0,0,2
34,91.0,100200,0,"['科幻', '进化变异']",0,0,0,1,100000,42
2,0.0,1903,0,"['都市', '都市生活']",0,0,0,0,0,1
418,60.0,249000,0,"['轻小说', '衍生同人', '轻小说']",0,1,1,1,250000,56
11,26.0,70100,0,"['玄幻', '异世大陆', '轻小说']",0,0,0,2,87000,31
8,0.0,10100,0,"['玄幻言情', '异世大陆']",1,0,0,0,0,6
13,13.0,14500,0,"['悬疑', '诡秘悬疑']",0,0,0,1,15000,7
20,0.0,7134,0,"['轻小说', '衍生同人', '轻小说']",0,0,0,0,0,2
3,75.0,4387,0,"['奇幻', '另类幻想']",0,0,0,2,6416,3
8,33.0,21500,0,"['古代言情', '古典架空']",0,0,0,1,22000,6
2,0.0,1393,0,"['现实', '家庭伦理']",0,0,0,0,0,2
2,25.0,2405,0,"['轻小说', '衍生同人', '轻小说']",0,0,0,3,19000,6
30,35.0,23200,0,"['科幻', '末世危机']",0,0,0,1,23000,12
2,0.0,4209,0,"['科幻', '末世危机']",0,0,0,0,0,11
110,153.0,102200,26,"['诸天无限', '诸天']",0,0,2,2,1420000,237
56,61.0,28600,0,"['悬疑', '侦探推理']",0,0,0,2,150000,44
9,139.0,14400,0,"['科幻空间', '末世危机']",0,0,0,1,14000,4
2,0.0,2035,0,"['玄幻言情', '东方玄幻']",0,0,0,1,37000,16
5,0.0,6,0,"['科幻', '进化变异']",0,0,0,0,0,6
29,17.0,26400,0,"['科幻空间', '时空穿梭']",0,0,0,1,26000,16
2,0.0,2034,0,"['浪漫青春', '青春纯爱']",0,0,0,0,0,1
20,7.0,1,0,"['仙侠', '修真文明']",1,0,0,2,2,25
19,15.0,22700,0,"['轻小说', '原生幻想', '轻小说']",0,0,0,1,23000,10
3,49.0,4164,0,"['玄幻', '东方玄幻']",0,0,0,1,4164,2
4,31.0,4218,0,"['科幻', '古武机甲']",0,0,0,1,4218,2
2,0.0,2067,0,"['玄幻', '异世大陆']",0,0,0,0,0,1
9,56.0,18200,0,"['轻小说', '原生幻想', '轻小说']",0,0,0,1,18000,51
5,26.0,5137,0,"['奇幻', '另类幻想']",1,0,0,1,5137,9
96,15.0,47500,0,"['科幻', '进化变异']",0,0,0,1,48000,31
3,136.0,16299,0,"['轻小说', '衍生同人', '轻小说']",0,0,0,1,16000,5
2,0.0,2284,0,"['奇幻', '另类幻想']",0,0,0,0,0,17
2,0.0,1330,0,"['科幻空间', '末世危机']",0,0,0,0,0,3
